Title,Image Link,Release,Rating,Metacritic,Description,Audience,Directors,Runtime,Genres
Dekalog (1988),https://www.metacritic.com/a/img/resize/2162216e0eddb77ee2faa85f1cd7c7ca5a0026b9/catalog/provider/2/2/2-33ff5c9171bee2da94bcbe5abcae60fd.jpg?auto=webp&fit=cover&height=132&width=88,1996,TV-MA,100.0,"This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time. Shot by nine different cinematographers, with stirring music by Zbigniew Preisner and compelling performances from established and unknown actors alike, Dekalog arrestingly explores the unknowable forces that shape our lives. Also available are the longer theatrical versions of the series’ fifth and sixth films: A Short Film About Killing and A Short Film About Love. [Janus Films]",7.4,Krzysztof Kieslowski,9 h 32 m,['Drama']
Casablanca,https://www.metacritic.com/a/img/resize/78c048faee35bacbfc0cb239831a7c7e50fcab7a/catalog/provider/2/2/2-d377eed3f868f2f56e42767822188b73.jpg?auto=webp&fit=cover&height=132&width=88,1943,PG,100.0,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",8.8,Michael Curtiz,1 h 42 m,"['Drama', 'Romance', 'War']"
The Conformist,https://www.metacritic.com/a/img/resize/1fd4889917b24ad7003586ee84ed5f7a151199fb/catalog/provider/2/2/2-dd018c5d82b77507bdac403f5f7c217b.jpg?auto=webp&fit=cover&height=132&width=88,1970,R,100.0,"Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power.",7.3,Bernardo Bertolucci,1 h 53 m,['Drama']
Lawrence of Arabia (re-release),https://www.metacritic.com/a/img/resize/ec76d64ca9f1f4d310412559f1a0c608d5970e95/catalog/provider/2/2/2-0d39c766b1fa2252bd609e914d0647af.jpg?auto=webp&fit=cover&height=132&width=88,2002,PG,100.0,"The 40th anniversary re-release of David Lean's 1962 masterpiece, starring Peter O'Toole in one of the most electrifying debuts in film history.",8.6,David Lean,3 h 38 m,"['Adventure', 'Biography', 'Drama', 'War']"
The Leopard (re-release),https://www.metacritic.com/a/img/resize/4236100026e3852c27d0402f3e15faf84c9277d3/catalog/provider/2/2/2-3ca5c775436114bc6d99f12ae3dace0a.jpg?auto=webp&fit=cover&height=132&width=88,2004,Approved,100.0,"Set in Sicily in 1860, Luchino Visconti's spectacular 1963 adaptation of Giuseppe di Lampedusa's international bestseller is one of the cinema's greatest evocations of the past, achingly depicting the passing of an ancient order. (Film Forum)",7.8,Luchino Visconti,3 h 6 m,"['Drama', 'History']"
Three Colors: Red,https://www.metacritic.com/a/img/resize/9181df467182536fd5b68b064217a16a8720a97e/catalog/provider/2/2/2-bee46070b1964833c696e09ad13f72fe.jpg?auto=webp&fit=cover&height=132&width=88,1994,R,100.0,"Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion]",8.3,Krzysztof Kieslowski,1 h 39 m,"['Drama', 'Mystery', 'Romance']"
Tokyo Story,https://www.metacritic.com/a/img/resize/6f8e7996250da0e01df62c2b01a1c01ff9466b72/catalog/provider/2/2/2-7588bc24cecfa69cdf24798d48b0491c.jpg?auto=webp&fit=cover&height=132&width=88,1972,Rated,100.0,"Yasujiro Ozu’s Tokyo Story follows an aging couple, Tomi and Sukichi, on their journey from their rural village to visit their two married children in bustling, postwar Tokyo. Their reception is disappointing: too busy to entertain them, their children send them off to a health spa. After Tomi falls ill she and Sukichi return home, while the children, grief-stricken, hasten to be with her. From a simple tale unfolds one of the greatest of all Japanese films. Starring Ozu regulars Chishu Ryu and Setsuko Hara, the film reprises one of the director’s favorite themes—that of generational conflict—in a way that is quintessentially Japanese and yet so universal in its appeal that it continues to resonate as one of cinema’s greatest masterpieces. [Janus Films]",8.2,Yasujirô Ozu,2 h 16 m,['Drama']
Boyhood,https://www.metacritic.com/a/img/resize/5e2347af172196e6c7076494b7e8ce26fd832f72/catalog/provider/2/2/2-e25db87c9adea62102834d1cc06d3705.jpg?auto=webp&fit=cover&height=132&width=88,2014,R,100.0,"Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films]",7.5,Richard Linklater,2 h 45 m,['Drama']
Citizen Kane,https://www.metacritic.com/a/img/resize/b6f5368a0598a7692eb50d6ca219d64a49a46ee1/catalog/provider/2/2/2-16b148bab11c417f2b2ca06404a8c514.jpg?auto=webp&fit=cover&height=132&width=88,1941,Approved,100.0,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",8.4,Orson Welles,1 h 59 m,"['Drama', 'Mystery']"
The Godfather,https://www.metacritic.com/a/img/resize/77d5d0bdf680af8d397d7c648d3675323e0e1c06/catalog/provider/2/2/2-40b421c7cfe1b3059d5e50d79e968270.jpg?auto=webp&fit=cover&height=132&width=88,1972,R,100.0,"Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]",9.3,Francis Ford Coppola,2 h 55 m,"['Crime', 'Drama']"
